k_value,information_loss,sum_IL,re-identification probability,fakeid_dist_avg,all_distances,labelList,df_stats
18,"[16.54895910548562, 15.547637853112816, 16.290584405894098]",48.387181364492534,0.029850746268656716,"[0.7195199611080704, 0.706710811505128, 0.7404811093588226]","[[0.8424570245998103, 0.740387852121276, 0.7327788461228689, 0.7543244440244584, 0.6841171023753196, 0.7637647257719674, 0.8128185432691035, 0.7023271568694394, 0.6758548161186438, 0.592660751604559, 0.6998082907035071, 0.6693028954699302, 0.76828617163639, 0.7275306632610979, 0.6538357956174018, 0.7657886787743304, 0.7454242365393419, 0.7290549810264891, 0.6923079207856633, 0.6531772843462657, 0.7000275529717406, 0.6696654391089687, 0.773257932367048], [0.7833087684066514, 0.7902056224292489, 0.7117502078558492, 0.7162175185987352, 0.6822547721618869, 0.5638012921475396, 0.6943132327912459, 0.7465066769918767, 0.7118441817398538, 0.6767564393692284, 0.665977067196749, 0.7117320159558188, 0.6652290781818951, 0.7044009018809803, 0.7449570515550713, 0.8221449587105982, 0.6310907640982872, 0.7408748103105227, 0.6431902223837904, 0.7763385215557751, 0.6667493659184098, 0.6979943828728014], [0.7681365946668639, 0.7791049877510825, 0.8364688118963808, 0.6772212609387691, 0.7056204774215107, 0.8083300325080279, 0.8594338482115628, 0.7998303494278207, 0.7366335523087354, 0.8102639616338094, 0.7882419163526174, 0.7147229378704626, 0.6494743185794407, 0.7230902074836745, 0.7308013047213244, 0.724372770362637, 0.6438990332699339, 0.7292281191441546, 0.7452656795265916, 0.7605480418380968, 0.6045390603956713, 0.6953571395849298]]",[0 1 2],"    cluster                                           encoding  \
0         2  [-0.131312295794487, 0.03853863477706909, 0.11...   
1         0  [-0.11461035907268524, 0.0719153881072998, 0.0...   
2         1  [-0.13154110312461853, 0.06494172662496567, 0....   
3         2  [-0.16909745335578918, 0.08440037071704865, 0....   
4         1  [-0.127934992313385, -0.051965486258268356, 0....   
..      ...                                                ...   
62        0  [-0.15339983999729156, -0.008279748260974884, ...   
63        1  [-0.18402491509914398, -0.015290141105651855, ...   
64        0  [-0.16207905113697052, 0.14546149969100952, 0....   
65        1  [-0.12329824268817902, -0.03732488304376602, 0...   
66        1  [-0.09739966690540314, 0.024372205138206482, 0...   

                                         latentVector  fakeid_dist  \
0   [[[0.037337556, 0.015016876, 0.016274227, -0.0...     0.768137   
1   [[[0.04244098, -0.06805582, -0.0033234742, -0....     0.842457   
2   [[[-0.007724424, 0.014072941, 0.005542814, -0....     0.783309   
3   [[[0.029956551, 0.06205659, 0.0024998635, -0.0...     0.779105   
4   [[[0.061727434, -0.06982298, -0.0042921226, -0...     0.790206   
..                                                ...          ...   
62  [[[0.045106106, 0.054787766, -0.0016527651, -0...     0.669665   
63  [[[0.17480585, -0.05027161, 0.058707014, -0.14...     0.776339   
64  [[[0.05095861, 0.029447416, -0.0049114646, -0....     0.773258   
65  [[[0.012324514, 0.035337534, 0.020308532, -0.2...     0.666749   
66  [[[0.16555612, 0.057951786, 0.038144067, -0.19...     0.697994   

    information_loss    avg_IL  disclosure  
0          16.290584  0.740481           1  
1          16.548959  0.719520           1  
2          15.547638  0.706711           1  
3          16.290584  0.740481           1  
4          15.547638  0.706711           1  
..               ...       ...         ...  
62         16.548959  0.719520           1  
63         15.547638  0.706711           1  
64         16.548959  0.719520           1  
65         15.547638  0.706711           1  
66         15.547638  0.706711           1  

[67 rows x 7 columns]"
19,"[16.676504439945603, 14.77907652890285, 16.179526456859318]",47.63510742570777,0.04477611940298507,"[0.7250654104324176, 0.6717762058592205, 0.7354330207663327]","[[0.8736218125212275, 0.7957550849041449, 0.7974326021726863, 0.6752251766517998, 0.7029942689256006, 0.7127633861675954, 0.7210516171684206, 0.7576128487875092, 0.8463073462669504, 0.6818714856692494, 0.6150985360871016, 0.8595198725027845, 0.7727263567010643, 0.7060100165972177, 0.5781246086243287, 0.7080839315863464, 0.7448245649555061, 0.7105923910480657, 0.6568512154361278, 0.6426439380127261, 0.7016863110406432, 0.6432092608693348, 0.7724978072491753], [0.8150599468786166, 0.7632169304895277, 0.7314746730908958, 0.7378297578725582, 0.6079383024693868, 0.6424013846418852, 0.671792413755576, 0.6927978277540696, 0.6074412614641621, 0.6613499717871625, 0.6258891348753461, 0.6800740487016425, 0.7345514873340684, 0.6670930632722841, 0.6205774085842692, 0.5938750772855487, 0.6877784295136246, 0.6843769308372045, 0.6403731177830543, 0.7098471480986205, 0.5917929071460469, 0.6115453052672976], [0.7614332130231491, 0.7807770481684412, 0.8331189457485823, 0.692631142663395, 0.7094870551126741, 0.8095871232744589, 0.7950204749729147, 0.7353372068361311, 0.8184845138834698, 0.7756369257157294, 0.748324517639235, 0.717747930270647, 0.640328372861909, 0.7272245265504166, 0.7392279274045724, 0.7288557299788592, 0.642286548453242, 0.7609163179463441, 0.7250886418980734, 0.7372570326189916, 0.6016121532229098, 0.6991431086151725]]",[0 1 2],"    cluster                                           encoding  \
0         2  [-0.131312295794487, 0.03853863477706909, 0.11...   
1         0  [-0.11461035907268524, 0.0719153881072998, 0.0...   
2         0  [-0.13154110312461853, 0.06494172662496567, 0....   
3         2  [-0.16909745335578918, 0.08440037071704865, 0....   
4         0  [-0.127934992313385, -0.051965486258268356, 0....   
..      ...                                                ...   
62        1  [-0.15339983999729156, -0.008279748260974884, ...   
63        1  [-0.18402491509914398, -0.015290141105651855, ...   
64        0  [-0.16207905113697052, 0.14546149969100952, 0....   
65        1  [-0.12329824268817902, -0.03732488304376602, 0...   
66        1  [-0.09739966690540314, 0.024372205138206482, 0...   

                                         latentVector  fakeid_dist  \
0   [[[0.037337556, 0.015016876, 0.016274227, -0.0...     0.761433   
1   [[[0.04244098, -0.06805582, -0.0033234742, -0....     0.873622   
2   [[[-0.007724424, 0.014072941, 0.005542814, -0....     0.795755   
3   [[[0.029956551, 0.06205659, 0.0024998635, -0.0...     0.780777   
4   [[[0.061727434, -0.06982298, -0.0042921226, -0...     0.797433   
..                                                ...          ...   
62  [[[0.045106106, 0.054787766, -0.0016527651, -0...     0.640373   
63  [[[0.17480585, -0.05027161, 0.058707014, -0.14...     0.709847   
64  [[[0.05095861, 0.029447416, -0.0049114646, -0....     0.772498   
65  [[[0.012324514, 0.035337534, 0.020308532, -0.2...     0.591793   
66  [[[0.16555612, 0.057951786, 0.038144067, -0.19...     0.611545   

    information_loss    avg_IL  disclosure  
0          16.179526  0.735433           1  
1          16.676504  0.725065           1  
2          16.676504  0.725065           1  
3          16.179526  0.735433           1  
4          16.676504  0.725065           1  
..               ...       ...         ...  
62         14.779077  0.671776           1  
63         14.779077  0.671776           1  
64         16.676504  0.725065           1  
65         14.779077  0.671776           0  
66         14.779077  0.671776           1  

[67 rows x 7 columns]"
